timestamp,I0,Q0,I1,Q1,I2,Q2,I3,Q3,I4,Q4,I5,Q5,I6,Q6,I7,Q7,I8,Q8,I9,Q9,I10,Q10,I11,Q11,I12,Q12,I13,Q13,I14,Q14,I15,Q15,I16,Q16,I17,Q17,I18,Q18,I19,Q19,I20,Q20,I21,Q21,I22,Q22,I23,Q23,I24,Q24,I25,Q25,I26,Q26,I27,Q27,I28,Q28,I29,Q29,I30,Q30,I31,Q31,I32,Q32,I33,Q33,I34,Q34,I35,Q35,I36,Q36,I37,Q37,I38,Q38,I39,Q39,I40,Q40,I41,Q41,I42,Q42,I43,Q43,I44,Q44,I45,Q45,I46,Q46,I47,Q47,I48,Q48,I49,Q49,I50,Q50,I51,Q51
2025-05-21 14:21:48.816000,-25,-14,-27,-12,-28,-10,-28,-9,-28,-8,-27,-6,-26,-3,-26,0,-27,2,-28,4,-29,5,-30,4,-30,3,-29,1,-26,-1,-22,-2,-18,-2,-14,-1,-11,1,-9,4,-7,6,-6,9,-6,11,-6,12,-7,13,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-4,-4,-7,-3,-10,-2,-13,0,-16,3,-17,5,-17,7,-16,8,-15,8,-13,7,-10,5,-8,1,-6,-3,-6,-9,-6,-14,-8
2025-05-21 14:21:48.826000,-25,-14,-27,-12,-28,-10,-28,-9,-28,-8,-27,-6,-26,-3,-26,0,-27,2,-28,4,-29,5,-30,4,-30,3,-29,1,-26,-1,-22,-2,-18,-2,-14,-1,-11,1,-9,4,-7,6,-6,9,-6,11,-6,12,-7,13,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-4,-4,-7,-3,-10,-2,-13,0,-16,3,-17,5,-17,7,-16,8,-15,8,-13,7,-10,5,-8,1,-6,-3,-6,-9,-6,-14,-8
2025-05-21 14:21:48.836000,-25,-14,-27,-12,-28,-10,-28,-9,-28,-8,-27,-6,-26,-3,-26,0,-27,2,-28,4,-29,5,-30,4,-30,3,-29,1,-26,-1,-22,-2,-18,-2,-14,-1,-11,1,-9,4,-7,6,-6,9,-6,11,-6,12,-7,13,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-4,-4,-7,-3,-10,-2,-13,0,-16,3,-17,5,-17,7,-16,8,-15,8,-13,7,-10,5,-8,1,-6,-3,-6,-9,-6,-14,-8
2025-05-21 14:21:48.846000,-25,-14,-27,-12,-28,-10,-28,-9,-28,-8,-27,-6,-26,-3,-26,0,-27,2,-28,4,-29,5,-30,4,-30,3,-29,1,-26,-1,-22,-2,-18,-2,-14,-1,-11,1,-9,4,-7,6,-6,9,-6,11,-6,12,-7,13,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-4,-4,-7,-3,-10,-2,-13,0,-16,3,-17,5,-17,7,-16,8,-15,8,-13,7,-10,5,-8,1,-6,-3,-6,-9,-6,-14,-8
2025-05-21 14:21:48.856000,16,22,19,21,20,19,21,18,22,17,22,14,23,11,23,9,25,8,27,7,28,7,29,7,28,8,26,10,23,11,19,10,15,8,12,5,10,2,8,-1,8,-4,8,-7,9,-9,10,-9,11,-10,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,7,-2,10,-5,12,-8,12,-11,13,-13,12,-15,11,-15,9,-14,7,-12,5,-9,4,-5,4,-1,5,4,8,8,12
2025-05-21 14:21:48.866000,16,22,19,21,20,19,21,18,22,17,22,14,23,11,23,9,25,8,27,7,28,7,29,7,28,8,26,10,23,11,19,10,15,8,12,5,10,2,8,-1,8,-4,8,-7,9,-9,10,-9,11,-10,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,7,-2,10,-5,12,-8,12,-11,13,-13,12,-15,11,-15,9,-14,7,-12,5,-9,4,-5,4,-1,5,4,8,8,12
2025-05-21 14:21:48.876000,16,22,19,21,20,19,21,18,22,17,22,14,23,11,23,9,25,8,27,7,28,7,29,7,28,8,26,10,23,11,19,10,15,8,12,5,10,2,8,-1,8,-4,8,-7,9,-9,10,-9,11,-10,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,7,-2,10,-5,12,-8,12,-11,13,-13,12,-15,11,-15,9,-14,7,-12,5,-9,4,-5,4,-1,5,4,8,8,12
2025-05-21 14:21:48.886000,16,22,19,21,20,19,21,18,22,17,22,14,23,11,23,9,25,8,27,7,28,7,29,7,28,8,26,10,23,11,19,10,15,8,12,5,10,2,8,-1,8,-4,8,-7,9,-9,10,-9,11,-10,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,7,-2,10,-5,12,-8,12,-11,13,-13,12,-15,11,-15,9,-14,7,-12,5,-9,4,-5,4,-1,5,4,8,8,12
2025-05-21 14:21:48.896000,16,22,19,21,20,19,21,18,22,17,22,14,23,11,23,9,25,8,27,7,28,7,29,7,28,8,26,10,23,11,19,10,15,8,12,5,10,2,8,-1,8,-4,8,-7,9,-9,10,-9,11,-10,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,7,-2,10,-5,12,-8,12,-11,13,-13,12,-15,11,-15,9,-14,7,-12,5,-9,4,-5,4,-1,5,4,8,8,12
2025-05-21 14:21:48.906000,6,26,9,27,10,27,12,26,13,25,14,23,15,20,17,19,19,18,21,17,23,18,23,18,22,19,20,20,17,19,14,17,11,14,9,10,8,7,8,3,9,0,10,-3,11,-4,13,-5,14,-5,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,-3,6,-7,8,-10,9,-13,8,-16,7,-18,5,-18,3,-18,1,-17,0,-14,-1,-10,-1,-6,1,-3,4,0,9,2,14
2025-05-21 14:21:48.916000,6,26,9,27,10,27,12,26,13,25,14,23,15,20,17,19,19,18,21,17,23,18,23,18,22,19,20,20,17,19,14,17,11,14,9,10,8,7,8,3,9,0,10,-3,11,-4,13,-5,14,-5,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,-3,6,-7,8,-10,9,-13,8,-16,7,-18,5,-18,3,-18,1,-17,0,-14,-1,-10,-1,-6,1,-3,4,0,9,2,14
2025-05-21 14:21:48.926000,6,26,9,27,10,27,12,26,13,25,14,23,15,20,17,19,19,18,21,17,23,18,23,18,22,19,20,20,17,19,14,17,11,14,9,10,8,7,8,3,9,0,10,-3,11,-4,13,-5,14,-5,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,-3,6,-7,8,-10,9,-13,8,-16,7,-18,5,-18,3,-18,1,-17,0,-14,-1,-10,-1,-6,1,-3,4,0,9,2,14
2025-05-21 14:21:48.936000,6,26,9,27,10,27,12,26,13,25,14,23,15,20,17,19,19,18,21,17,23,18,23,18,22,19,20,20,17,19,14,17,11,14,9,10,8,7,8,3,9,0,10,-3,11,-4,13,-5,14,-5,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,-3,6,-7,8,-10,9,-13,8,-16,7,-18,5,-18,3,-18,1,-17,0,-14,-1,-10,-1,-6,1,-3,4,0,9,2,14
2025-05-21 14:21:48.946000,6,26,9,27,10,27,12,26,13,25,14,23,15,20,17,19,19,18,21,17,23,18,23,18,22,19,20,20,17,19,14,17,11,14,9,10,8,7,8,3,9,0,10,-3,11,-4,13,-5,14,-5,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,-3,6,-7,8,-10,9,-13,8,-16,7,-18,5,-18,3,-18,1,-17,0,-14,-1,-10,-1,-6,1,-3,4,0,9,2,14
2025-05-21 14:21:48.956000,6,26,9,27,10,27,12,26,13,25,14,23,15,20,17,19,19,18,21,17,23,18,23,18,22,19,20,20,17,19,14,17,11,14,9,10,8,7,8,3,9,0,10,-3,11,-4,13,-5,14,-5,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,-3,6,-7,8,-10,9,-13,8,-16,7,-18,5,-18,3,-18,1,-17,0,-14,-1,-10,-1,-6,1,-3,4,0,9,2,14
2025-05-21 14:21:48.966000,-5,-25,-7,-26,-8,-26,-9,-25,-11,-23,-12,-21,-13,-20,-15,-18,-17,-17,-19,-17,-20,-17,-22,-18,-21,-19,-18,-20,-15,-19,-13,-16,-11,-12,-8,-9,-8,-6,-8,-3,-8,0,-10,1,-12,2,-13,3,-13,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-5,4,-5,7,-6,10,-6,12,-5,15,-6,17,-4,17,-1,15,1,13,2,10,3,6,2,3,0,1,-5,-1,-10,-2,-14
2025-05-21 14:21:48.976000,-5,-25,-7,-26,-8,-26,-9,-25,-11,-23,-12,-21,-13,-20,-15,-18,-17,-17,-19,-17,-20,-17,-22,-18,-21,-19,-18,-20,-15,-19,-13,-16,-11,-12,-8,-9,-8,-6,-8,-3,-8,0,-10,1,-12,2,-13,3,-13,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-5,4,-5,7,-6,10,-6,12,-5,15,-6,17,-4,17,-1,15,1,13,2,10,3,6,2,3,0,1,-5,-1,-10,-2,-14
2025-05-21 14:21:49.046000,-5,-25,-7,-26,-8,-26,-9,-25,-11,-23,-12,-21,-13,-20,-15,-18,-17,-17,-19,-17,-20,-17,-22,-18,-21,-19,-18,-20,-15,-19,-13,-16,-11,-12,-8,-9,-8,-6,-8,-3,-8,0,-10,1,-12,2,-13,3,-13,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-5,4,-5,7,-6,10,-6,12,-5,15,-6,17,-4,17,-1,15,1,13,2,10,3,6,2,3,0,1,-5,-1,-10,-2,-14
2025-05-21 14:21:49.056000,-23,-16,-25,-14,-26,-12,-26,-11,-26,-10,-26,-8,-26,-5,-27,-2,-28,0,-29,1,-30,2,-30,1,-30,0,-29,-2,-26,-3,-22,-4,-18,-3,-14,-2,-11,1,-9,3,-8,6,-7,8,-7,10,-7,11,-8,12,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-5,-4,-8,-3,-11,-1,-14,1,-16,4,-17,6,-17,8,-16,10,-15,10,-13,9,-10,6,-8,3,-6,-2,-6,-7,-6,-13,-9
2025-05-21 14:21:49.066000,-23,-16,-25,-14,-26,-12,-26,-11,-26,-10,-26,-8,-26,-5,-27,-2,-28,0,-29,1,-30,2,-30,1,-30,0,-29,-2,-26,-3,-22,-4,-18,-3,-14,-2,-11,1,-9,3,-8,6,-7,8,-7,10,-7,11,-8,12,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-5,-4,-8,-3,-11,-1,-14,1,-16,4,-17,6,-17,8,-16,10,-15,10,-13,9,-10,6,-8,3,-6,-2,-6,-7,-6,-13,-9
2025-05-21 14:21:49.076000,15,-23,13,-25,12,-26,10,-26,8,-26,6,-26,4,-26,2,-27,0,-28,-2,-29,-2,-30,-2,-30,0,-30,2,-28,3,-26,3,-22,2,-18,0,-15,-2,-12,-4,-10,-6,-9,-8,-8,-10,-8,-11,-8,-12,-9,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-3,6,-4,10,-3,13,-1,15,1,16,4,16,6,16,9,14,10,11,10,9,9,7,6,5,2,4,-3,5,-8,8,-13
2025-05-21 14:21:49.086000,15,-23,13,-25,12,-26,10,-26,8,-26,6,-26,4,-26,2,-27,0,-28,-2,-29,-2,-30,-2,-30,0,-30,2,-28,3,-26,3,-22,2,-18,0,-15,-2,-12,-4,-10,-6,-9,-8,-8,-10,-8,-11,-8,-12,-9,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-3,6,-4,10,-3,13,-1,15,1,16,4,16,6,16,9,14,10,11,10,9,9,7,6,5,2,4,-3,5,-8,8,-13
2025-05-21 14:21:49.096000,15,-23,13,-25,12,-26,10,-26,8,-26,6,-26,4,-26,2,-27,0,-28,-2,-29,-2,-30,-2,-30,0,-30,2,-28,3,-26,3,-22,2,-18,0,-15,-2,-12,-4,-10,-6,-9,-8,-8,-10,-8,-11,-8,-12,-9,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-3,6,-4,10,-3,13,-1,15,1,16,4,16,6,16,9,14,10,11,10,9,9,7,6,5,2,4,-3,5,-8,8,-13
2025-05-21 14:21:49.107000,15,-23,13,-25,12,-26,10,-26,8,-26,6,-26,4,-26,2,-27,0,-28,-2,-29,-2,-30,-2,-30,0,-30,2,-28,3,-26,3,-22,2,-18,0,-15,-2,-12,-4,-10,-6,-9,-8,-8,-10,-8,-11,-8,-12,-9,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-3,6,-4,10,-3,13,-1,15,1,16,4,16,6,16,9,14,10,11,10,9,9,7,6,5,2,4,-3,5,-8,8,-13
2025-05-21 14:21:49.116000,15,-23,13,-25,12,-26,10,-26,8,-26,6,-26,4,-26,2,-27,0,-28,-2,-29,-2,-30,-2,-30,0,-30,2,-28,3,-26,3,-22,2,-18,0,-15,-2,-12,-4,-10,-6,-9,-8,-8,-10,-8,-11,-8,-12,-9,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-3,6,-4,10,-3,13,-1,15,1,16,4,16,6,16,9,14,10,11,10,9,9,7,6,5,2,4,-3,5,-8,8,-13
