timestamp,I0,Q0,I1,Q1,I2,Q2,I3,Q3,I4,Q4,I5,Q5,I6,Q6,I7,Q7,I8,Q8,I9,Q9,I10,Q10,I11,Q11,I12,Q12,I13,Q13,I14,Q14,I15,Q15,I16,Q16,I17,Q17,I18,Q18,I19,Q19,I20,Q20,I21,Q21,I22,Q22,I23,Q23,I24,Q24,I25,Q25,I26,Q26,I27,Q27,I28,Q28,I29,Q29,I30,Q30,I31,Q31,I32,Q32,I33,Q33,I34,Q34,I35,Q35,I36,Q36,I37,Q37,I38,Q38,I39,Q39,I40,Q40,I41,Q41,I42,Q42,I43,Q43,I44,Q44,I45,Q45,I46,Q46,I47,Q47,I48,Q48,I49,Q49,I50,Q50,I51,Q51
2025-05-21 14:17:51.916000,15,-22,13,-25,12,-26,11,-27,9,-26,7,-26,5,-26,3,-27,2,-28,1,-29,0,-29,0,-29,1,-29,2,-27,3,-25,3,-21,2,-17,0,-14,-2,-12,-5,-10,-7,-8,-9,-8,-10,-8,-11,-8,-12,-9,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-3,6,-3,10,-2,12,0,14,3,15,5,15,8,14,10,13,11,10,11,8,10,6,7,4,2,4,-3,5,-8,8,-12
2025-05-21 14:17:51.926000,26,-7,26,-10,25,-12,25,-13,23,-14,22,-15,20,-16,19,-19,18,-20,17,-22,17,-23,18,-23,18,-22,18,-20,17,-17,15,-14,12,-12,8,-11,5,-10,2,-10,0,-11,-2,-11,-4,-12,-5,-13,-5,-14,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,2,8,5,9,9,8,12,8,15,6,16,4,17,2,17,0,15,-1,12,-1,9,1,5,4,1,8,-2,14,-4
2025-05-21 14:17:51.936000,26,-7,26,-10,25,-12,25,-13,23,-14,22,-15,20,-16,19,-19,18,-20,17,-22,17,-23,18,-23,18,-22,18,-20,17,-17,15,-14,12,-12,8,-11,5,-10,2,-10,0,-11,-2,-11,-4,-12,-5,-13,-5,-14,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,2,8,5,9,9,8,12,8,15,6,16,4,17,2,17,0,15,-1,12,-1,9,1,5,4,1,8,-2,14,-4
2025-05-21 14:17:51.946000,26,-7,26,-10,25,-12,25,-13,23,-14,22,-15,20,-16,19,-19,18,-20,17,-22,17,-23,18,-23,18,-22,18,-20,17,-17,15,-14,12,-12,8,-11,5,-10,2,-10,0,-11,-2,-11,-4,-12,-5,-13,-5,-14,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,2,8,5,9,9,8,12,8,15,6,16,4,17,2,17,0,15,-1,12,-1,9,1,5,4,1,8,-2,14,-4
2025-05-21 14:17:51.976000,14,-19,13,-21,12,-22,11,-22,9,-22,7,-22,5,-23,4,-23,2,-24,1,-25,0,-26,1,-26,1,-25,3,-24,3,-21,3,-18,2,-15,0,-12,-2,-10,-4,-9,-6,-7,-8,-7,-9,-7,-10,-7,-11,-8,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-3,6,-2,8,-1,11,1,12,3,13,6,13,8,12,10,10,10,8,10,6,9,4,6,4,3,4,-2,5,-6,8,-10
2025-05-21 14:17:51.986000,14,-19,13,-21,12,-22,11,-22,9,-22,7,-22,5,-23,4,-23,2,-24,1,-25,0,-26,1,-26,1,-25,3,-24,3,-21,3,-18,2,-15,0,-12,-2,-10,-4,-9,-6,-7,-8,-7,-9,-7,-10,-7,-11,-8,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-3,6,-2,8,-1,11,1,12,3,13,6,13,8,12,10,10,10,8,10,6,9,4,6,4,3,4,-2,5,-6,8,-10
2025-05-21 14:17:51.996000,14,-19,13,-21,12,-22,11,-22,9,-22,7,-22,5,-23,4,-23,2,-24,1,-25,0,-26,1,-26,1,-25,3,-24,3,-21,3,-18,2,-15,0,-12,-2,-10,-4,-9,-6,-7,-8,-7,-9,-7,-10,-7,-11,-8,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-3,6,-2,8,-1,11,1,12,3,13,6,13,8,12,10,10,10,8,10,6,9,4,6,4,3,4,-2,5,-6,8,-10
2025-05-21 14:17:52.006000,14,-19,13,-21,12,-22,11,-22,9,-22,7,-22,5,-23,4,-23,2,-24,1,-25,0,-26,1,-26,1,-25,3,-24,3,-21,3,-18,2,-15,0,-12,-2,-10,-4,-9,-6,-7,-8,-7,-9,-7,-10,-7,-11,-8,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-3,6,-2,8,-1,11,1,12,3,13,6,13,8,12,10,10,10,8,10,6,9,4,6,4,3,4,-2,5,-6,8,-10
2025-05-21 14:17:52.016000,14,-19,13,-21,12,-22,11,-22,9,-22,7,-22,5,-23,4,-23,2,-24,1,-25,0,-26,1,-26,1,-25,3,-24,3,-21,3,-18,2,-15,0,-12,-2,-10,-4,-9,-6,-7,-8,-7,-9,-7,-10,-7,-11,-8,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-3,6,-2,8,-1,11,1,12,3,13,6,13,8,12,10,10,10,8,10,6,9,4,6,4,3,4,-2,5,-6,8,-10
2025-05-21 14:17:52.056000,-22,15,-21,17,-20,19,-18,20,-17,21,-14,21,-11,21,-9,23,-7,24,-5,25,-5,26,-5,27,-6,26,-7,24,-8,21,-7,17,-6,13,-4,10,-1,7,2,5,4,4,6,3,8,2,10,2,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-5,2,-7,0,-10,-3,-11,-6,-11,-9,-10,-12,-9,-14,-7,-15,-5,-15,-4,-14,-3,-11,-2,-8,-3,-3,-6,1,-10,5,-15,8
2025-05-21 14:17:52.067000,-22,15,-21,17,-20,19,-18,20,-17,21,-14,21,-11,21,-9,23,-7,24,-5,25,-5,26,-5,27,-6,26,-7,24,-8,21,-7,17,-6,13,-4,10,-1,7,2,5,4,4,6,3,8,2,10,2,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-5,2,-7,0,-10,-3,-11,-6,-11,-9,-10,-12,-9,-14,-7,-15,-5,-15,-4,-14,-3,-11,-2,-8,-3,-3,-6,1,-10,5,-15,8
2025-05-21 14:17:52.076000,-22,15,-21,17,-20,19,-18,20,-17,21,-14,21,-11,21,-9,23,-7,24,-5,25,-5,26,-5,27,-6,26,-7,24,-8,21,-7,17,-6,13,-4,10,-1,7,2,5,4,4,6,3,8,2,10,2,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-5,2,-7,0,-10,-3,-11,-6,-11,-9,-10,-12,-9,-14,-7,-15,-5,-15,-4,-14,-3,-11,-2,-8,-3,-3,-6,1,-10,5,-15,8
2025-05-21 14:17:52.086000,-22,15,-21,17,-20,19,-18,20,-17,21,-14,21,-11,21,-9,23,-7,24,-5,25,-5,26,-5,27,-6,26,-7,24,-8,21,-7,17,-6,13,-4,10,-1,7,2,5,4,4,6,3,8,2,10,2,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-5,2,-7,0,-10,-3,-11,-6,-11,-9,-10,-12,-9,-14,-7,-15,-5,-15,-4,-14,-3,-11,-2,-8,-3,-3,-6,1,-10,5,-15,8
2025-05-21 14:17:52.096000,-22,15,-21,17,-20,19,-18,20,-17,21,-14,21,-11,21,-9,23,-7,24,-5,25,-5,26,-5,27,-6,26,-7,24,-8,21,-7,17,-6,13,-4,10,-1,7,2,5,4,4,6,3,8,2,10,2,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-5,2,-7,0,-10,-3,-11,-6,-11,-9,-10,-12,-9,-14,-7,-15,-5,-15,-4,-14,-3,-11,-2,-8,-3,-3,-6,1,-10,5,-15,8
2025-05-21 14:17:52.106000,-22,15,-21,17,-20,19,-18,20,-17,21,-14,21,-11,21,-9,23,-7,24,-5,25,-5,26,-5,27,-6,26,-7,24,-8,21,-7,17,-6,13,-4,10,-1,7,2,5,4,4,6,3,8,2,10,2,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-5,2,-7,0,-10,-3,-11,-6,-11,-9,-10,-12,-9,-14,-7,-15,-5,-15,-4,-14,-3,-11,-2,-8,-3,-3,-6,1,-10,5,-15,8
